,strategy,benchmark
2020-01-02,10000.0,10083.987285872852
2020-01-03,9992.812058776079,9983.73081680212
2020-01-06,10060.848684169941,10041.373729594025
2020-01-07,10040.814863283134,10043.630794383853
2020-01-08,10066.576427626454,10060.189512810075
2020-01-09,10156.28554000209,10150.357505590942
2020-01-10,10136.747178569187,10127.581854902955
2020-01-13,10237.514893422862,10220.867364698448
2020-01-14,10224.968382854551,10210.185562663166
2020-01-15,10239.378713466753,10214.770756071162
2020-01-16,10325.370252148323,10301.721644912846
2020-01-17,10363.591901711756,10355.95449511775
2020-01-21,10337.39147259412,10318.997536807232
2020-01-22,10350.06967012101,10328.087731760908
2020-01-23,10351.733171037238,10321.622658550436
2020-01-24,10235.712453842178,10195.53958715361
2020-01-27,10036.433012346486,9989.004356420002
2020-01-28,10173.028950169655,10121.507756138773
2020-01-29,10155.688849634722,10090.659090961532
2020-01-30,10194.387595220327,10107.103156455643
2020-01-31,9911.252118970873,9826.872053466717
2020-02-03,10014.668142882781,9926.690811112076
2020-02-04,10175.487415968502,10088.309701088707
2020-02-05,10302.863588197943,10246.04710596725
2020-02-06,10349.481426589766,10276.906522346264
2020-02-07,10315.932949644648,10214.460540843691
2020-02-10,10446.730429230132,10336.657814933315
2020-02-11,10489.171418418704,10389.716664423093
2020-02-12,10574.864506863663,10476.005030415994
2020-02-13,10527.061382713671,10427.905674656637
2020-02-14,10592.220518829396,10480.664611966262
2020-02-18,10594.744533707171,10466.328776161763
2020-02-19,10707.14080423367,10580.366292026361
2020-02-20,10623.502976027217,10495.427957915672
2020-02-21,10449.27324289736,10322.542366058435
2020-02-24,10027.363807408918,9899.303758746348
2020-02-25,9701.20106078559,9573.12449360349
2020-02-26,9699.684541639537,9569.878420431578
2020-02-27,9250.871093761329,9131.513137633588
2020-02-28,9287.37474111847,9169.032655848792
2020-03-02,9677.817553718944,9549.923056810341
2020-03-03,9397.532039491336,9277.398406397591
2020-03-04,9851.21658565545,9714.682051071359
2020-03-05,9548.090403002589,9398.114120734606
2020-03-06,9393.593104133171,9241.252613934981
2020-03-09,8657.461822119321,8537.72423121378
2020-03-10,9098.753226121173,8985.061349024614
2020-03-11,8733.33240069039,8598.774627910954
2020-03-12,7889.4941053708635,7789.584205406909
2020-03-13,8718.383185587354,8601.073953212981
2020-03-16,7608.957771086432,7535.393054734783
2020-03-17,8036.969169537863,8000.244047874009
2020-03-18,7678.143416536277,7645.599861873168
2020-03-19,7749.680331478897,7693.080077969596
2020-03-20,7495.74972755892,7448.240651378584
2020-03-23,7351.855112190829,7298.149915069086
2020-03-24,8092.482523009311,8009.638875640971
2020-03-25,8061.528202464975,7940.364749318572
2020-03-26,8598.233673557363,8478.525453341288
2020-03-27,8304.914666959348,8182.279473475685
2020-03-30,8622.20355473668,8473.457879073278
2020-03-31,8543.379295255465,8385.055768588487
2020-04-01,8141.179994860975,8032.408836682463
2020-04-02,8425.749440637126,8325.541508517528
2020-04-03,8258.808526497422,8155.454106216458
2020-04-06,8804.224255112515,8697.916705566931
2020-04-07,8738.38003474846,8635.165590370185
2020-04-08,9042.887576420118,8933.661919802129
2020-04-09,9042.39391478852,8932.65815074239
2020-04-13,9065.340220042013,8953.770105823422
2020-04-14,9413.634460295887,9283.474320185229
2020-04-15,9285.809979458794,9147.241773988828
2020-04-16,9421.512405394542,9270.9179336337
2020-04-17,9606.683468305808,9456.101776134634
2020-04-20,9533.668147843478,9361.014102933997
2020-04-21,9137.261694600442,8987.430979231041
2020-04-22,9429.192496534346,9285.224894290863
2020-04-23,9453.125240678579,9282.86385269724
2020-04-24,9592.199553996188,9434.234211370052
2020-04-27,9704.236544973244,9550.596783470639
2020-04-28,9535.581620265066,9398.477491426402
2020-04-29,9779.48997265954,9650.420818094846
2020-04-30,9737.12060495324,9591.918929537482
2020-05-01,9481.17265504962,9321.397262131535
2020-05-04,9601.23000132222,9427.80346691512
2020-05-05,9746.771852361637,9570.399556341632
2020-05-06,9728.777108908886,9556.975202932746
2020-05-07,9845.908255142442,9665.99391182643
2020-05-08,9984.230220366657,9799.861873421389
2020-05-11,10133.089837247137,9926.196941734253
2020-05-12,9941.236108651647,9728.537525095275
2020-05-13,9752.787327596594,9551.864897541127
2020-05-14,9869.52734663124,9673.090572643525
2020-05-15,9969.341552792197,9733.296754855264
2020-05-18,10149.914233354573,9943.44756786809
2020-05-19,10087.145958640256,9861.220670126251
2020-05-20,10278.652777813044,10052.57518150494
2020-05-21,10198.0086179328,9947.05064138046
2020-05-22,10260.213930609247,10008.93000189796
