,strategy,benchmark
2020-01-02,10000.0,10083.98728587285
2020-01-03,10000.0,9983.729729243587
2020-01-06,10000.0,10041.373144077608
2020-01-07,10000.0,10043.630620440335
2020-01-08,10000.0,10060.189283643702
2020-01-09,10000.0,10150.357226280692
2020-01-10,10000.0,10127.581364231859
2020-01-13,10000.0,10220.866788320902
2020-01-14,10000.0,10210.185063547451
2020-01-15,10000.0,10214.770773425804
2020-01-16,10000.0,10301.720999951116
2020-01-17,10000.0,10355.953658794195
2020-01-21,10000.0,10318.997324023556
2020-01-22,10000.0,10328.087162736012
2020-01-23,10000.0,10321.62236605151
2020-01-24,10000.0,10195.53907331979
2020-01-27,10000.0,9989.004351749762
2020-01-28,10000.0,10121.5073367324
2020-01-29,10000.0,10090.658825104456
2020-01-30,10000.0,10107.10273328876
2020-01-31,10000.0,9826.871628944666
2020-02-03,10000.0,9926.690505131462
2020-02-04,10000.0,10088.309142622189
2020-02-05,10000.0,10246.047202763359
2020-02-06,10000.0,10276.905722177751
2020-02-07,10000.0,10214.45997196033
2020-02-10,10000.0,10336.6572204733
2020-02-11,10000.0,10389.715595957741
2020-02-12,10000.0,10476.004309645316
2020-02-13,10000.0,10427.90531948734
2020-02-14,10000.0,10480.664092143375
2020-02-18,9997.630451012734,10466.328389232456
2020-02-19,10015.369944124195,10580.365683940976
2020-02-20,10010.876959894005,10495.426682898027
2020-02-21,10002.648503148173,10322.542300650523
2020-02-24,9945.29786421596,9899.30356279888
2020-02-25,9886.787034424598,9573.124821689644
2020-02-26,9885.212296215695,9569.878176886119
2020-02-27,9853.725924508772,9131.512783714377
2020-02-28,9844.913297596422,9169.032295587213
2020-03-02,9845.33688994047,9549.922955030563
2020-03-03,9845.33688994047,9277.397479441976
2020-03-04,9845.33688994047,9714.681295856852
2020-03-05,9845.33688994047,9398.113669043561
2020-03-06,9845.33688994047,9241.252176469136
2020-03-09,9845.33688994047,8537.72391112273
2020-03-10,9845.33688994047,8985.061509545945
2020-03-11,9845.33688994047,8598.774168204713
2020-03-12,9845.33688994047,7789.583963917899
2020-03-13,9845.33688994047,8601.073819205887
2020-03-16,9845.33688994047,7535.392647060498
2020-03-17,9845.33688994047,8000.243803421919
2020-03-18,9845.33688994047,7645.599733801674
2020-03-19,9845.33688994047,7693.079824616247
2020-03-20,9845.33688994047,7448.2401701776425
2020-03-23,9845.33688994047,7298.149910707898
2020-03-24,9845.33688994047,8009.638415799151
2020-03-25,9845.33688994047,7940.364097890566
2020-03-26,9845.33688994047,8478.525093682023
2020-03-27,9845.33688994047,8182.27934402498
2020-03-30,9845.33688994047,8473.458043794299
2020-03-31,9845.33688994047,8385.055161574299
2020-04-01,9845.33688994047,8032.40856067756
2020-04-02,9845.33688994047,8325.541049125482
2020-04-03,9845.33688994047,8155.4541085318915
2020-04-06,9916.211524980168,8697.916119759777
2020-04-07,9847.238457294066,8635.16525359466
2020-04-08,9964.08143933662,8933.662028990953
2020-04-09,9938.545976208334,8932.657414145919
2020-04-13,9976.849841902727,8953.769380147927
2020-04-14,10225.55841750085,9283.474345518025
2020-04-15,10136.177071443735,9147.2417521022
2020-04-16,10273.362796453406,9270.917666411875
2020-04-17,10413.938082591554,9456.101415905643
2020-04-20,10342.814825244675,9361.012949378675
2020-04-21,10023.947786431936,8987.430579617256
2020-04-22,10295.819552472298,9285.224457991933
2020-04-23,10287.515100490982,9282.862866902537
2020-04-24,10409.739777225079,9434.234106760374
2020-04-27,10514.324932603678,9550.596686511824
2020-04-28,10366.964318692406,9398.476794443835
2020-04-29,10498.855277041492,9650.419912149442
2020-04-30,10440.223453481358,9591.918374446288
2020-05-01,10228.970470437953,9321.397046966473
2020-05-04,10323.955043096876,9427.803455488207
2020-05-05,10437.229388039848,9570.399239284328
2020-05-06,10402.833546709848,9556.975257412101
